CODGEO;Nb Pharmacies et parfumerie;Dynamique Entrepreneuriale;Dynamique Entrepreneuriale Service et Commerce;Synergie Médicale COMMUNE;Orientation Economique;Indice Fiscal Partiel;Score Fiscal;Indice Evasion Client;Score Evasion Client;Indice Synergie Médicale;Score Synergie Médicale;SEG Croissance POP;LIBGEO;REG;DEP;Nb Omnipraticiens BV;Nb Infirmiers Libéraux BV;Nb dentistes Libéraux BV;Nb pharmaciens Libéraux BV;Densité Médicale BV;Score équipement de santé BV;Indice Démographique;Score Démographique;Indice Ménages;Score Ménages;Population;Evolution Population;Evolution Pop %;Nb Ménages;Nb Résidences Principales;Nb propriétaire;Nb Logement;Nb Résidences Secondaires;Nb Log Vacants;Nb Occupants Résidence Principale;Nb Femme;Nb Homme;Nb Mineurs;Nb Majeurs;Nb Etudiants;Nb Entreprises Secteur Services;Nb Entreprises Secteur Commerce;Nb Entreprises Secteur Construction;Nb Entreprises Secteur Industrie;Nb Création Enteprises;Nb Création Industrielles;Nb Création Construction;Nb Création Commerces;Nb Création Services;Moyenne Revenus Fiscaux Départementaux;Moyenne Revenus Fiscaux Régionaux;Dep Moyenne Salaires Horaires;Dep Moyenne Salaires Cadre Horaires;Dep Moyenne Salaires Prof Intermédiaire Horaires;Dep Moyenne Salaires Employé Horaires;Dep Moyenne Salaires Ouvrié Horaires;Reg Moyenne Salaires Horaires;Reg Moyenne Salaires Cadre Horaires;Reg Moyenne Salaires Prof Intermédiaire Horaires;Reg Moyenne Salaires Employé Horaires;Reg Moyenne Salaires Ouvrié Horaires;Valeur ajoutée régionale;Urbanité Ruralité;Score Urbanité;Nb Atifs;Nb Actifs Salariés;Nb Actifs Non Salariés;Nb Logement Secondaire et Occasionnel;Nb Hotel;Capacité Hotel;Nb Camping;Capacité Camping;Dynamique Démographique BV;Taux étudiants;Taux Propriété;Dynamique Démographique INSEE;Capacité Fisc;Capacité Fiscale;Moyenne Revnus fiscaux;Taux Evasion Client;Nb Education, santé, action sociale;Nb Services personnels et domestiques;Nb Santé, action sociale;Nb Industries des biens intermédiaires;Nb de Commerce;Nb de Services aux particuliers;Nb institution de Education, santé, action sociale, administration;PIB Régionnal;SEG Environnement Démographique Obsolète;Score Croissance Population;Score Croissance Entrepreneuriale;Score VA Région;Score PIB;Environnement Démographique;Fidélité;SYN MEDICAL;Seg Cap Fiscale;Seg Dyn Entre;DYN SetC;CP
31001;0;22;6;44;Bassin diversifié;109,67825;76,33987;0;0;44,21889;0,04138;en croissance démographique;Agassac;73;31;6;5;2;2;0,123700972;2;7,37644;0,00569;7,23309;0,00432;121;-6;-4;48;48;36;65;8;9;121;120;114;137;97;8;2;3;2;0;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;48;25;23;8;0;0;0;0;5.Déclin par déficit naturel;0;55;0;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;69,67213;0;11,82517;13,13235;Bassin diversifié en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31002;0;20;1;71;Bassin Résidentiel;109,67825;76,33987;0;0;71,35322;0,07741;en croissance démographique;Aignes;73;31;18;25;10;10;0,124371438;3;11,76573;0,00908;11,60309;0,00693;193;-7;-3;77;77;63;99;15;7;193;178;190;210;158;13;1;0;2;0;2;0;1;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;72;49;23;15;0;0;0;0;1.Accroissement par excédent naturel et migratoire;0;63;0;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;70,08197;0,00346;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31003;0;42;21;75;Bassin Urbain;109,67825;76,33987;0;0;75,37312;0,08275;en croissance démographique;Aigrefeuille;73;31;12;12;6;6;1;1;35,17526;0,02714;25,91858;0,01548;577;46;8;172;172;150;179;6;1;577;558;552;749;361;36;14;3;8;2;1;0;0;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;264;224;40;6;0;0;0;0;Grande Ville;0;83;-5;96;96;12307,5;0;5;1;5;1935;3711;1222;7638;71295;Com rurale < 2 000 m habts en croissance démographique;74,59016;0,00173;11,82517;13,13235;Bassin Urbain en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31004;0;86;68;86;Bassin Urbain;109,67825;76,33987;0;0;86,42784;0,09743;en croissance démographique;Ayguesvives;73;31;12;12;6;6;1;1;110,5247;0,08528;95,68779;0,05716;1813;71;3;635;633;465;657;11;13;1790;1762;1758;2246;1274;131;37;17;16;9;11;2;4;0;5;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;794;713;81;11;0;0;0;0;Grande Ville;0;70;-6;113;113;12307,5;0;15;4;14;1935;3711;1222;7638;71295;Com rurale < 2 000 m habts en croissance démographique;72,54098;0,01902;11,82517;13,13235;Bassin Urbain en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31005;0;33;8;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Alan;73;31;56;80;30;30;0,15487764;4;18,34966;0,01416;17,47997;0,01044;301;-16;-5;116;116;100;163;39;8;299;300;290;343;247;27;5;2;2;7;2;1;1;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;113;82;31;39;0;0;0;0;5.Déclin par déficit naturel;0;61;1;92;92;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;69,2623;0,00346;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31006;0;25;6;58;Bassin Résidentiel;109,67825;76,33987;0;0;58,28854;0,06006;en croissance démographique;Albiac;73;31;8;19;4;4;0,143814951;4;9,51012;0,00734;7,98654;0,00477;156;-2;-1;53;53;45;60;4;3;156;140;164;187;117;9;4;1;3;1;1;0;1;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;60;48;12;4;0;0;0;0;1.Accroissement par excédent naturel et migratoire;0;75;0;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;70,90164;0,00173;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31007;0;21;6;44;Bassin diversifié;109,67825;76,33987;0;0;44,21889;0,04138;en croissance démographique;Ambax;73;31;6;5;2;2;0,123700972;2;4,38929;0,00339;3,46586;0,00207;72;3;4;23;23;17;37;11;3;72;76;66;92;50;5;3;2;0;2;2;0;0;0;2;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;31;22;9;11;0;0;0;0;5.Déclin par déficit naturel;0;45;0;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;72,95082;0,00346;11,82517;13,13235;Bassin diversifié en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31008;0;24;7;45;Bassin diversifié;109,67825;76,33987;0;0;45,22387;0,04271;en croissance démographique;Anan;73;31;6;5;2;2;0,123700972;2;14,02134;0,01082;14,76756;0,00882;230;-7;-3;98;98;76;120;17;5;230;204;250;263;191;7;3;3;1;2;1;0;1;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;85;59;26;17;0;0;0;0;5.Déclin par déficit naturel;0;63;0;91;91;12307,5;0;1;0;1;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;70,08197;0,00173;11,82517;13,13235;Bassin diversifié en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31009;0;19;2;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Antichan-de-Frontignes;73;31;56;80;30;30;0,15487764;4;5,12084;0,00395;6,17827;0,00369;84;-5;-6;41;41;32;77;34;2;84;70;96;95;71;3;1;1;1;0;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;19;12;7;34;1;6;0;0;5.Déclin par déficit naturel;0;41;0;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;68,85246;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31010;0;23;6;58;Bassin Résidentiel;109,67825;76,33987;0;0;58,28854;0,06006;en croissance démographique;Antignac;73;31;17;11;3;3;0,19644653;4;6,34008;0,00489;6,02758;0,0036;104;0;0;40;39;26;74;35;0;100;106;98;125;79;6;3;2;2;1;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;50;37;13;35;0;0;0;0;5.Déclin par déficit naturel;0;35;0;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;71,31148;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31011;0;34;15;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Arbas;73;31;56;80;30;30;0,15487764;4;11,33899;0,00875;14,61687;0,00873;186;-20;-11;97;100;63;233;126;7;186;174;192;198;168;4;10;2;4;3;2;1;1;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;62;50;12;126;0;0;0;0;5.Déclin par déficit naturel;0;27;2;90;90;12307,5;0;0;0;1;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;66,80328;0,00346;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31012;0;18;1;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Arbon;73;31;56;80;30;30;0,15487764;4;4,63314;0,00358;4,52068;0,0027;76;-8;-11;30;30;25;79;42;7;76;72;78;85;65;3;1;0;1;0;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;22;17;5;42;0;0;0;0;5.Déclin par déficit naturel;0;31;1;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;66,80328;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31013;0;33;7;142;Bassin Résidentiel;109,67825;76,33987;0;0;142,70643;0,17218;en croissance démographique;Ardiège;73;31;56;80;30;30;0,15487764;4;19,81276;0,01529;18,38411;0,01098;325;-4;-1;122;122;77;154;26;6;325;322;304;395;231;22;3;3;6;2;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;120;101;19;26;0;0;0;0;5.Déclin par déficit naturel;0;50;0;92;92;12307,5;0;0;1;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;70,90164;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31014;0;20;1;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Arguenos;73;31;56;80;30;30;0,15487764;4;3,47485;0,00268;4,36999;0,00261;57;-4;-7;29;30;25;94;63;1;57;54;56;59;51;2;1;0;1;1;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;13;9;4;63;0;0;0;0;5.Déclin par déficit naturel;0;26;0;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;68,44262;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31015;0;17;2;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Argut-Dessous;73;31;56;80;30;30;0,15487764;4;2,01176;0,00155;1,95896;0,00117;33;-3;-10;13;13;12;67;51;3;33;30;34;38;26;4;2;0;0;0;1;0;0;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;11;8;3;51;0;0;0;0;5.Déclin par déficit naturel;0;17;0;88;88;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;67,21311;0,00173;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31017;0;24;3;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Arlos;73;31;56;80;30;30;0,15487764;4;5,48661;0,00423;6,17827;0,00369;90;-9;-10;41;41;28;117;63;13;88;94;86;102;78;6;1;2;2;2;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;34;29;5;63;0;0;0;0;5.Déclin par déficit naturel;0;23;1;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;67,21311;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31018;0;26;6;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Arnaud-Guilhem;73;31;56;80;30;30;0,15487764;4;10,24167;0,0079;9,9455;0,00594;168;-14;-8;66;66;56;91;15;10;167;154;172;181;145;10;1;4;4;0;3;0;3;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;73;61;12;15;0;0;0;0;5.Déclin par déficit naturel;0;61;1;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;68,03279;0,00519;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31019;0;21;5;58;Bassin Résidentiel;109,67825;76,33987;0;0;58,28854;0,06006;en croissance démographique;Artigue;73;31;17;11;3;3;0,19644653;4;2,07272;0,0016;1,80827;0,00108;34;-1;-2;12;12;8;34;22;0;34;34;32;43;23;2;3;1;1;1;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;12;3;9;22;0;0;0;0;5.Déclin par déficit naturel;0;23;0;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;70,4918;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31020;0;97;98;161;Bassin Résidentiel;109,67825;76,33987;124,22775;0,05311;161,80095;0,19754;en croissance démographique;Aspet;73;31;56;80;30;30;0,15487764;4;56,51208;0,04361;65,24852;0,03898;927;-48;-5;433;434;260;684;160;90;914;952;862;1038;776;38;47;30;12;14;12;0;2;2;8;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;319;238;81;160;0;0;1;42;5.Déclin par déficit naturel;0;38;5;98;98;12307,5;1;14;3;17;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;69,2623;0,03862;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Mobile;Forte Synergie Médicale;Fiscalité moyenne;Moyenne dynamique;Dynamique Serv et Com;31
31021;0;21;2;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Aspret-Sarrat;73;31;56;80;30;30;0,15487764;4;5,91335;0,00456;5,57551;0,00333;97;3;3;37;38;32;50;8;4;97;92;102;120;74;4;2;0;1;2;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;46;35;11;8;0;0;0;0;5.Déclin par déficit naturel;0;64;0;90;90;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;72,54098;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31022;0;451;462;158;Bassin Urbain;109,67825;76,33987;0;0;158,78603;0,19353;en croissance démographique;Aucamville;73;31;12;12;6;6;1;1;337,2436;0,26023;328,35227;0,19615;5532;201;3;2179;2176;1145;2281;28;77;5526;5530;5184;6506;4208;426;177;181;74;79;53;4;26;8;15;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com > 200 m habts;87,5;2518;2196;322;28;0;0;0;0;Grande Ville;0;50;-20;167;167;12307,5;0;59;16;59;1935;3711;1222;7638;71295;Com > 200 m habts en croissance démographique;72,54098;0,16311;11,82517;13,13235;Bassin Urbain en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Dynamique Economique;Bonne Dynamique Entreprise Serv et Com;31
31023;0;22;6;143;Bassin Résidentiel;109,67825;76,33987;0;0;143,71141;0,17351;en croissance démographique;Aulon;73;31;56;80;30;30;0,15487764;4;21,15393;0,01632;22,45273;0,01341;347;-27;-7;149;149;121;207;43;15;343;356;332;380;308;7;3;2;1;1;2;0;0;1;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;123;85;38;43;0;0;0;0;5.Déclin par déficit naturel;0;58;2;92;92;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;68,44262;0,01239;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31024;0;33;7;71;Bassin Résidentiel;109,67825;76,33987;0;0;71,35322;0,07741;en croissance démographique;Auragne;73;31;18;25;10;10;0,124371438;3;19,02025;0,01468;17,1786;0,01026;312;4;1;114;114;85;129;7;8;310;314;298;373;239;18;4;2;6;2;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;130;106;24;7;0;0;0;0;1.Accroissement par excédent naturel et migratoire;0;65;0;92;92;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;71,72131;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31025;0;36;28;71;Bassin Urbain;109,67825;76,33987;0;0;71,35322;0,07741;en croissance démographique;Aureville;73;31;12;12;6;6;1;1;32,91966;0,0254;28,4803;0,01701;540;28;5;189;189;163;198;5;4;540;494;548;637;405;42;12;10;2;4;2;0;0;0;2;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;253;215;38;5;0;0;0;0;Grande Ville;0;82;-3;96;96;12307,5;0;3;0;2;1935;3711;1222;7638;71295;Com rurale < 2 000 m habts en croissance démographique;73,36066;0,00346;11,82517;13,13235;Bassin Urbain en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31026;0;56;36;65;Bassin Résidentiel;109,67825;76,33987;0;0;65,32337;0,0694;en croissance démographique;Auriac-sur-Vendinelle;73;31;8;19;4;4;0,143814951;4;58,34095;0,04502;55,45371;0,03313;957;-23;-2;368;368;259;446;45;33;926;948;926;1098;776;55;21;8;6;10;1;0;0;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;355;273;82;45;0;0;0;0;1.Accroissement par excédent naturel et migratoire;0;58;2;99;99;12307,5;0;4;2;5;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;70,4918;0,00173;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31027;0;27;12;73;Bassin Résidentiel;109,67825;76,33987;0;0;73,36317;0,08008;en croissance démographique;Auribail;73;31;18;25;10;10;0,124371438;3;9,8759;0,00762;8,89068;0,00531;162;0;0;59;59;41;69;6;4;162;146;172;190;128;9;5;5;3;0;1;0;1;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;74;42;32;6;0;0;0;0;1.Accroissement par excédent naturel et migratoire;0;59;0;90;90;12307,5;0;0;1;0;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;71,31148;0,00173;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31028;0;85;91;166;Bassin Résidentiel;109,67825;76,33987;124,22775;0,05311;166,82583;0,20421;en croissance démographique;Aurignac;73;31;56;80;30;30;0,15487764;4;59,74308;0,0461;63,89232;0,03817;980;-22;-2;424;423;256;538;80;35;880;960;974;1086;848;39;48;24;7;14;12;0;2;2;8;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;346;270;76;80;1;9;1;37;5.Déclin par déficit naturel;0;47;2;99;99;12307,5;1;16;4;22;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;70,4918;0,03862;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Mobile;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Dynamique Serv et Com;31
31029;0;30;17;61;Bassin Résidentiel;109,67825;76,33987;0;0;61,30347;0,06407;en croissance démographique;Aurin;73;31;8;19;4;4;0,143814951;4;14,93577;0,01152;12,65791;0,00756;245;6;2;84;84;68;93;6;3;245;226;246;296;176;19;9;5;1;4;3;2;1;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;94;77;17;6;0;0;0;0;1.Accroissement par excédent naturel et migratoire;0;73;0;91;91;12307,5;0;1;1;1;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;72,13115;0,00519;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31030;0;19;2;61;Bassin Résidentiel;109,67825;76,33987;0;0;61,30347;0,06407;en croissance démographique;Ausseing;73;31;8;21;5;5;0,167951726;4;3,7187;0,00287;3,16448;0,00189;61;0;0;21;21;16;32;8;3;61;68;54;75;47;1;1;1;1;0;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;23;17;6;8;0;0;0;0;5.Déclin par déficit naturel;0;50;0;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;71,31148;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31031;0;47;22;63;Bassin Résidentiel;109,67825;76,33987;0;0;63,31342;0,06674;en croissance démographique;Ausson;73;31;11;16;7;7;0,150854844;4;33,04158;0,0255;34,35719;0,02052;542;-15;-2;228;228;187;253;14;11;541;534;534;615;453;28;7;10;6;8;5;0;3;0;2;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com < 10 m habts;12,5;218;166;52;14;0;0;0;0;5.Déclin par déficit naturel;0;73;1;95;95;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;70,4918;0,00865;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
