CODGEO;Nb Pharmacies et parfumerie;Dynamique Entrepreneuriale;Dynamique Entrepreneuriale Service et Commerce;Synergie Médicale COMMUNE;Orientation Economique;Indice Fiscal Partiel;Score Fiscal;Indice Evasion Client;Score Evasion Client;Indice Synergie Médicale;Score Synergie Médicale;SEG Croissance POP;LIBGEO;REG;DEP;Nb Omnipraticiens BV;Nb Infirmiers Libéraux BV;Nb dentistes Libéraux BV;Nb pharmaciens Libéraux BV;Densité Médicale BV;Score équipement de santé BV;Indice Démographique;Score Démographique;Indice Ménages;Score Ménages;Population;Evolution Population;Evolution Pop %;Nb Ménages;Nb Résidences Principales;Nb propriétaire;Nb Logement;Nb Résidences Secondaires;Nb Log Vacants;Nb Occupants Résidence Principale;Nb Femme;Nb Homme;Nb Mineurs;Nb Majeurs;Nb Etudiants;Nb Entreprises Secteur Services;Nb Entreprises Secteur Commerce;Nb Entreprises Secteur Construction;Nb Entreprises Secteur Industrie;Nb Création Enteprises;Nb Création Industrielles;Nb Création Construction;Nb Création Commerces;Nb Création Services;Moyenne Revenus Fiscaux Départementaux;Moyenne Revenus Fiscaux Régionaux;Dep Moyenne Salaires Horaires;Dep Moyenne Salaires Cadre Horaires;Dep Moyenne Salaires Prof Intermédiaire Horaires;Dep Moyenne Salaires Employé Horaires;Dep Moyenne Salaires Ouvrié Horaires;Reg Moyenne Salaires Horaires;Reg Moyenne Salaires Cadre Horaires;Reg Moyenne Salaires Prof Intermédiaire Horaires;Reg Moyenne Salaires Employé Horaires;Reg Moyenne Salaires Ouvrié Horaires;Valeur ajoutée régionale;Urbanité Ruralité;Score Urbanité;Nb Atifs;Nb Actifs Salariés;Nb Actifs Non Salariés;Nb Logement Secondaire et Occasionnel;Nb Hotel;Capacité Hotel;Nb Camping;Capacité Camping;Dynamique Démographique BV;Taux étudiants;Taux Propriété;Dynamique Démographique INSEE;Capacité Fisc;Capacité Fiscale;Moyenne Revnus fiscaux;Taux Evasion Client;Nb Education, santé, action sociale;Nb Services personnels et domestiques;Nb Santé, action sociale;Nb Industries des biens intermédiaires;Nb de Commerce;Nb de Services aux particuliers;Nb institution de Education, santé, action sociale, administration;PIB Régionnal;SEG Environnement Démographique Obsolète;Score Croissance Population;Score Croissance Entrepreneuriale;Score VA Région;Score PIB;Environnement Démographique;Fidélité;SYN MEDICAL;Seg Cap Fiscale;Seg Dyn Entre;DYN SetC;CP
31174;0;36;10;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Estadens;73;31;56;80;30;30;0,15487764;4;26,09188;0,02013;26,82272;0,01602;428;-30;-7;178;178;138;274;95;1;425;418;428;503;343;23;5;3;7;2;3;0;2;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;160;125;35;95;0;0;0;0;5.Déclin par déficit naturel;0;50;3;93;93;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;68,44262;0,00519;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31175;0;61;44;147;Bassin Résidentiel;109,67825;76,33987;124,22775;0,05311;147,73131;0,17885;en croissance démographique;Estancarbon;73;31;56;80;30;30;0,15487764;4;32,31003;0,02493;31,64478;0,0189;530;-16;-3;210;211;168;230;8;11;516;556;484;612;428;41;7;27;7;10;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com < 50 m habts;37,5;202;169;33;8;1;60;0;0;5.Déclin par déficit naturel;0;73;1;94;94;12307,5;1;0;4;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;70,08197;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Mobile;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31176;0;22;2;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Esténos;73;31;56;80;30;30;0,15487764;4;10,18071;0,00786;12,65791;0,00756;167;-8;-5;84;84;54;131;42;5;167;174;156;189;141;7;2;0;3;0;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;56;47;9;42;0;0;0;0;5.Déclin par déficit naturel;0;41;1;90;90;12307,5;0;1;0;1;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;69,2623;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31177;0;26;9;140;Bassin Résidentiel;109,67825;76,33987;0;0;140,69648;0,16951;en croissance démographique;Eup;73;31;56;80;30;30;0,15487764;4;8,96146;0,00691;9,9455;0,00594;147;-6;-4;66;66;53;120;45;9;146;134;154;160;128;9;3;4;2;2;1;0;0;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;56;47;9;45;0;0;0;0;5.Déclin par déficit naturel;0;44;0;90;90;12307,5;0;0;0;1;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;69,67213;0,00173;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31178;0;27;3;44;Bassin diversifié;109,67825;76,33987;0;0;44,21889;0,04138;en croissance démographique;Fabas;73;31;6;5;2;2;0,123700972;2;13,04594;0,01007;12,8086;0,00765;214;-12;-5;85;85;67;119;20;14;212;200;218;241;177;6;2;1;3;3;1;0;0;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;76;44;32;20;0;0;0;0;5.Déclin par déficit naturel;0;56;1;91;91;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;69,2623;0,00173;11,82517;13,13235;Bassin diversifié en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31179;0;39;17;58;Bassin Résidentiel;109,67825;76,33987;0;0;58,28854;0,06006;en croissance démographique;Le Faget;73;31;8;19;4;4;0,143814951;4;17,06945;0,01317;16,12377;0,00963;280;-76;-27;107;107;68;148;21;20;279;272;272;337;207;9;10;4;7;2;2;0;1;0;1;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;106;80;26;21;0;0;0;0;1.Accroissement par excédent naturel et migratoire;0;45;9;91;91;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;60,2459;0,00346;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31180;0;20;5;82;Bassin Résidentiel;109,67825;76,33987;0;0;82,40794;0,09209;en croissance démographique;Falga;73;31;21;34;12;12;0,154207174;4;4,81602;0,00372;4,2193;0,00252;79;0;0;28;31;23;39;8;0;79;78;78;93;63;2;3;1;1;0;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;28;17;11;8;0;0;0;0;3.Accroissement par excédent migratoire;0;58;0;89;89;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en croissance démographique;71,31148;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31181;0;78;37;81;Bassin Urbain;109,67825;76,33987;0;0;81,40296;0,09076;en croissance démographique;Le Fauga;73;31;12;12;6;6;1;1;67,05856;0,05174;59,97439;0,03583;1100;60;5;398;399;314;449;19;31;1098;1084;1054;1312;826;70;24;6;19;8;10;1;4;1;4;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;492;442;50;19;0;0;0;0;Grande Ville;0;69;-6;103;103;12307,5;0;6;3;5;1935;3711;1222;7638;71295;Com rurale < 2 000 m habts en croissance démographique;73,36066;0,02622;11,82517;13,13235;Bassin Urbain en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
31182;0;325;315;143;Bassin Urbain;109,67825;76,33987;0;0;143,71141;0,17351;en croissance démographique;Fenouillet;73;31;12;12;6;6;1;1;245,67819;0,18957;223,77381;0,13367;4030;155;3;1485;1476;964;1559;15;68;3941;3950;3868;4762;3056;306;95;147;47;67;28;0;6;11;11;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com > 200 m habts;87,5;1693;1502;191;15;0;0;0;0;Grande Ville;0;61;-14;141;141;12307,5;0;28;14;26;1935;3711;1222;7638;71295;Com > 200 m habts en croissance démographique;72,54098;0,14668;11,82517;13,13235;Bassin Urbain en croissance démographique;Pop Sédentaire;Forte Synergie Médicale;Fiscalité moyenne;Dynamique Economique;Bonne Dynamique Entreprise Serv et Com;31
31183;0;28;6;61;Bassin Résidentiel;109,67825;76,33987;0;0;61,30347;0,06407;en croissance démographique;Figarol;73;31;8;21;5;5;0,167951726;4;14,38711;0,0111;14,16481;0,00846;236;-14;-6;94;95;78;129;21;13;236;206;252;281;177;14;4;1;3;3;0;0;0;0;0;13363;11252;12,77692308;21,70128205;12,79358974;8,882051282;9,379487179;11,29585492;21,01709845;12,35181347;8,61865285;8,921243523;33631,55025;Com rurale < 2 000 m habts;0;93;69;24;21;0;0;0;0;5.Déclin par déficit naturel;0;60;1;91;91;12307,5;0;0;0;0;1935;3711;1222;7638;71295;Zone rurale en déclin démographique;68,85246;0;11,82517;13,13235;Bassin Résidentiel en croissance démographique;Pop Sédentaire;Faible Synergie Médicale;Fiscalité moyenne;Faible dynamique;Faible Dynamique Serv et Com;31
