Code département;Département;Code circonscription;Circonscription;Numéro de panneau;Libellé abrégé de liste;Libellé de la liste;Code nuance de liste;Nuance de liste;Tête de liste;Ordre;Sexe;Nom sur le bulletin de vote;Prénom sur le bulletin de vote;Nationalité;Code personnalité;CC
31;Haute-Garonne;31528;Saman;1;ENSEMBLE, NOTRE VILLAGE, NOTRE AVENIR;ENSEMBLE, NOTRE VILLAGE, NOTRE AVENIR;;;OUI;1;M;LACROIX;Julien;Française;;
31;Haute-Garonne;31529;Samouillan;1;SAMOUILLAN UN NOUVEL ELAN;SAMOUILLAN UN NOUVEL ELAN;;;OUI;1;M;GUIARD;Johann;Française;;
31;Haute-Garonne;31530;Sana;1;Vivre ensemble a Sana;Vivre ensemble a Sana;;;OUI;1;M;GISQUET;Jean-Claude;Française;;
31;Haute-Garonne;31530;Sana;2;UN NOUVEL ELAN POUR SANA;UN NOUVEL ELAN POUR SANA;;;OUI;1;M;ROQUABERT;Didier;Française;;
31;Haute-Garonne;31531;Sarrecave;1;AVEC VOUS, POUR SARRECAVE;AVEC VOUS, POUR SARRECAVE;;;OUI;1;F;DUPLAN;Sandrine;Française;;
31;Haute-Garonne;31532;Sarremezan;1;Liste des candidats pour les élections municipales 2026;Liste des candidats pour les élections municipales 2026;;;OUI;1;F;ENEL;Catherine;Française;;
31;Haute-Garonne;31533;Saubens;1;AGIR POUR SAUBENS;AGIR POUR SAUBENS;;;OUI;1;M;BERGIA;Jean-Marc;Française;;OUI
31;Haute-Garonne;31534;Saussens;1;UNIS POUR SAUSSENS;UNIS POUR SAUSSENS;;;OUI;1;F;DELORD;Geraldine;Française;;
31;Haute-Garonne;31535;Sauveterre-de-Comminges;1;Engagés et unis pour Sauveterre-de-Comminges;Engagés et unis pour Sauveterre-de-Comminges;;;OUI;1;M;PRAT;Philippe;Française;;
31;Haute-Garonne;31536;Saux-et-Pomarède;1;AGIR AUJOURD'HUI POUR PREPARER DEMAIN;AGIR AUJOURD'HUI POUR PREPARER DEMAIN;;;OUI;1;F;SANSONETTO;Evelyne;Française;;
31;Haute-Garonne;31537;Savarthès;1;BIEN VIVRE A SAVARTHES;BIEN VIVRE A SAVARTHES;;;OUI;1;M;GERMAIN;Franck;Française;;
31;Haute-Garonne;31538;Savères;1;Unie(s) pour Savères;Unie(s) pour Savères;;;OUI;1;F;ROUQUETTE;Amandine;Française;;
31;Haute-Garonne;31539;Sédeilhac;1;SANDRINE AU SERVICE DE NOTRE VILLAGE;SANDRINE AU SERVICE DE NOTRE VILLAGE;;;OUI;1;M;CASTERAN;Philippe;Française;;
31;Haute-Garonne;31540;Ségreville;1;Vivre ensemble pour Ségreville;Vivre ensemble pour Ségreville;;;OUI;1;M;DOUCEMENT;Vivien;Française;;
31;Haute-Garonne;31541;Seilh;1;Ensemble pour Seilh;Ensemble pour Seilh;;;OUI;1;M;CASTERA;Didier;Française;;OUI
31;Haute-Garonne;31542;Seilhan;1;ENSEMBLE POUR SEILHAN;ENSEMBLE POUR SEILHAN;;;OUI;1;F;VIGNEAUX;Denise;Française;;
31;Haute-Garonne;31543;Sénarens;1;VIVRE ENSEMBLE;VIVRE ENSEMBLE;;;OUI;1;M;LAGUENS;Bernard;Française;;
31;Haute-Garonne;31544;Sengouagnet;1;SENGOUAGNET AUTREMENT;SENGOUAGNET AUTREMENT;;;OUI;1;M;STEIN;Alexandre;Française;;
31;Haute-Garonne;31544;Sengouagnet;2;UNIS POUR SENGOUAGNET;UNIS POUR SENGOUAGNET;;;OUI;1;M;JUNQUA;Sylvain;Française;;
31;Haute-Garonne;31545;Sepx;1;ENSEMBLE POUR SEPX;ENSEMBLE POUR SEPX;;;OUI;1;F;JULIEN;Christine;Française;;
31;Haute-Garonne;31546;Seyre;1;NOTRE DIVERSITE, UNE FORCE!;NOTRE DIVERSITE, UNE FORCE!;;;OUI;1;M;AMEGBLEAME;Koudjo;Française;;
31;Haute-Garonne;31547;Seysses;1;SEYSSES ENSEMBLE;SEYSSES ENSEMBLE;LDVG;Liste divers gauche;OUI;1;M;BOUTELOUP;Jérôme;Française;;OUI
31;Haute-Garonne;31547;Seysses;2;SEYSSES DEMAIN;SEYSSES DEMAIN;LUC;Liste d'union au centre;OUI;1;F;VALLIER;Vicky;Française;;OUI
31;Haute-Garonne;31548;Signac;1;ENSEMBLE POUR SIGNAC;ENSEMBLE POUR SIGNAC;;;OUI;1;M;GUAUS;Marc;Française;;
31;Haute-Garonne;31549;Sode;1;TOUS ENSEMBLE;TOUS ENSEMBLE;;;OUI;1;M;CHEZE;Jean-Christian;Française;;
